POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,KLRahul,7,7,2,331,91,66.2,243,136.21,0,4,27,16
2,Fafdu Plessis,7,7,2,320,95,64,220,145.45,0,4,29,13
3,ShikharDhawan,8,7,0,311,92,44.42,236,131.77,0,2,37,6
4,SanjuSamson,7,7,1,277,119,46.16,190,145.78,1,0,26,11
5,PrithviShaw,8,7,0,269,82,38.42,163,165.03,0,3,34,9
6,JosButtler,7,7,0,254,124,36.28,166,153.01,1,0,27,13
7,RohitSharma,7,7,0,250,63,35.71,195,128.2,0,1,18,11
8,JonnyBairstow,7,7,1,248,63,41.33,175,141.71,0,2,20,15
9,GlennMaxwell,7,6,0,223,78,37.16,154,144.8,0,2,21,10
10,ABde Villiers,7,6,2,207,76,51.75,126,164.28,0,2,16,10
11,MoeenAli,6,6,0,206,58,34.33,131,157.25,0,1,22,12
12,NitishRana,7,7,0,201,80,28.71,164,122.56,0,2,21,9
13,RishabhPant,8,7,2,199,58,39.8,151,131.78,0,2,24,3
14,ViratKohli,7,7,1,198,72,33,163,121.47,0,1,21,4
15,RuturajGaikwad,7,7,0,196,75,28,152,128.94,0,2,25,5
16,MayankAgarwal,7,7,1,196,69,32.66,154,127.27,0,1,19,7
17,DevduttPadikkal,6,6,1,195,101,39,128,152.34,1,0,22,9
18,DavidWarner,6,6,0,193,57,32.16,175,110.28,0,2,15,6
19,ManishPandey,5,5,1,193,61,48.25,156,123.71,0,2,12,8
20,RahulTripathi,7,7,0,187,53,26.71,138,135.5,0,1,21,4
21,ChrisGayle,8,8,1,178,46,25.42,133,133.83,0,0,20,8
22,SuryakumarYadav,7,7,0,173,56,24.71,120,144.16,0,1,22,5
23,KieronPollard,7,7,4,168,87,56,98,171.42,0,1,11,13
24,AndreRussell,7,7,1,163,54,27.16,105,155.23,0,1,12,13
25,Quintonde Kock,6,6,1,155,70,31,132,117.42,0,1,15,3
